"REF_DATE","GEO","DGUID","Milled wheat and wheat flour produced","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004-09","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","286","","","","0"
"2004-10","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","272","","","","0"
"2004-11","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","279","","","","0"
"2004-12","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","267","","","","0"
"2005-01","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","261","","","","0"
"2005-02","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","252","","","","0"
"2005-03","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","268","","","","0"
"2005-04","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","255","","","","0"
"2005-05","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","269","","","","0"
"2005-06","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","278","","","","0"
"2005-07","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","257","","","","0"
"2005-08","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","292","","","","0"
"2005-09","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","296","","","","0"
"2005-10","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","295","","","","0"
"2005-11","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","285","","","","0"
"2005-12","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","263","","","","0"
"2006-01","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","255","","","","0"
"2006-02","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","231","","","","0"
"2006-03","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","273","","","","0"
"2006-04","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","242","","","","0"
"2006-05","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","281","","","","0"
"2006-06","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","280","","","","0"
"2006-07","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","256","","","","0"
"2006-08","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","287","","","","0"
"2006-09","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","277","","","","0"
"2006-10","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","297","","","","0"
"2006-11","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","292","","","","0"
"2006-12","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","265","","","","0"
"2007-01","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","275","","","","0"
"2007-02","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","253","","","","0"
"2007-03","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","270","","","","0"
"2007-04","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","246","","","","0"
"2007-05","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","255","","","","0"
"2007-06","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","260","","","","0"
"2007-07","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","253","","","","0"
"2007-08","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","275","","","","0"
"2007-09","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","260","","","","0"
"2007-10","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","270","","","","0"
"2007-11","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","282","","","","0"
"2007-12","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","245","","","","0"
"2008-01","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","256","","","","0"
"2008-02","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","234","","","","0"
"2008-03","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","241","","","","0"
"2008-04","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","251","","","","0"
"2008-05","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","249","","","","0"
"2008-06","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","243","","","","0"
"2008-07","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","257","","","","0"
"2008-08","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","237","","","","0"
"2008-09","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","248","","","","0"
"2008-10","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","260","","","","0"
"2008-11","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","243","","","","0"
"2008-12","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","236","","","","0"
"2009-01","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","229","","","","0"
"2009-02","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","217","","","","0"
"2009-03","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","243","","","","0"
"2009-04","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","236","","","","0"
"2009-05","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","236","","","","0"
"2009-06","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","253","","","","0"
"2009-07","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","259","","","","0"
"2009-08","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","252","","","","0"
"2009-09","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","267","","","","0"
"2009-10","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","275","","","","0"
"2009-11","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","257","","","","0"
"2009-12","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","255","","","","0"
"2010-01","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","239","","","","0"
"2010-02","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","226","","","","0"
"2010-03","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","250","","","","0"
"2010-04","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","241","","","","0"
"2010-05","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","245","","","","0"
"2010-06","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","262","","","","0"
"2010-07","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","249","","","","0"
"2010-08","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","262","","","","0"
"2010-09","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","260","","","","0"
"2010-10","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","264","","","","0"
"2010-11","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","272","","","","0"
"2010-12","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","237","","","","0"
"2011-01","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","236","","","","0"
"2011-02","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","217","","","","0"
"2011-03","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","257","","","","0"
"2011-04","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","230","","","","0"
"2011-05","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","241","","","","0"
"2011-06","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","249","","","","0"
"2011-07","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","240","","","","0"
"2011-08","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","264","","","","0"
"2011-09","Canada","2016A000011124","Total wheat milled","Metric tonnes","214","thousands","3","v41294753","1.1","254","","","","0"
